name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-1699,NO,1,0,0,0,0,0,0
GENE-1700,NO,1,0,0,0,0,0,0
GENE-1701,NO,1,0,0,0,0,0,0
GENE-1702,NO,1,63,62,73,65,50,59
GENE-1703,NO,1,0,0,0,0,0,0
GENE-1704,NO,1,229,200,210,196,158,198
GENE-1705,NO,1,5,11,8,2,4,2
GENE-1706,NO,1,0,0,0,0,0,0
GENE-1707,NO,1,0,0,0,0,0,0
GENE-1708,NO,1,0,0,0,0,0,0
GENE-1709,NO,1,245,241,248,269,255,250
GENE-1710,NO,1,0,0,0,0,0,0
GENE-1711,NO,1,15,20,19,20,20,17
GENE-1712,NO,1,0,0,0,0,0,0
GENE-1713,NO,1,2,2,2,5,3,3
GENE-1714,NO,1,78,67,77,70,84,85
GENE-1715,NO,1,0,0,0,0,0,0
GENE-1716,NO,1,0,0,0,0,0,0
GENE-1717,NO,1,211,226,213,201,225,194
GENE-1718,NO,1,0,0,0,0,0,0
GENE-1719,NO,1,0,0,0,0,0,0
GENE-1720,NO,1,1,0,0,0,0,0
GENE-1721,NO,1,332,531,513,405,355,485
GENE-1722,NO,1,0,0,0,0,0,0
GENE-1723,NO,1,0,0,0,0,0,0
GENE-1724,NO,1,0,0,0,0,0,0
GENE-1725,NO,1,733,763,677,883,866,846
GENE-1726,NO,1,3,7,3,4,3,4
GENE-1727,NO,1,0,0,0,0,0,0
GENE-1728,NO,1,162,148,172,134,184,186
GENE-1729,NO,1,0,0,0,0,0,0
GENE-1730,NO,1,0,0,0,0,0,0
GENE-1731,NO,1,0,0,0,0,0,0
GENE-1732,NO,1,3,2,2,4,2,1
GENE-1733,NO,1,264,319,385,285,399,288
GENE-1734,NO,1,0,0,0,0,0,0
GENE-1735,NO,1,0,0,0,0,0,0
GENE-1736,YES,1,0,0,0,0,0,0
GENE-1738,NO,1,0,0,0,0,0,0
GENE-1739,NO,1,0,0,0,0,0,0
GENE-1740,NO,1,0,0,0,0,0,0
GENE-1741,NO,1,101,66,71,46,85,82
GENE-1742,YES,1,0,0,0,0,0,0
GENE-1743,NO,1,0,0,0,0,0,0
GENE-1744,YES,1,0,0,0,0,0,0
GENE-1745,NO,1,3511,3379,3385,3393,3372,3439
GENE-1746,NO,1,1065,641,387,1399,859,1014
GENE-1747,NO,1,1087,1138,928,971,1138,1042
GENE-1748,NO,1,0,0,0,0,0,0
GENE-1749,NO,1,0,0,0,0,0,0
GENE-1750,NO,1,0,0,1,1,0,0
GENE-1751,NO,1,0,0,0,0,0,0
GENE-1752,NO,1,0,0,0,0,0,0
GENE-1753,NO,1,0,0,0,0,0,0
GENE-1754,NO,1,0,0,0,0,0,0
GENE-1755,NO,1,0,0,0,0,0,0
GENE-1756,NO,1,0,0,0,0,0,0
GENE-1757,NO,1,0,0,0,0,0,0
GENE-1758,NO,1,0,0,0,0,0,0
GENE-1760,NO,1,0,0,0,0,0,0
GENE-1761,NO,1,0,0,0,0,0,0
GENE-1763,NO,1,0,0,0,0,1,0
GENE-1765,NO,1,0,0,0,0,0,0
GENE-1766,NO,1,0,0,0,0,0,0
GENE-1767,NO,1,27,60,46,34,56,58
GENE-1768,NO,1,526,677,772,538,479,355
GENE-1769,NO,1,0,0,0,0,0,0
GENE-1770,NO,1,0,0,0,0,0,0
GENE-1771,NO,1,1096,904,775,1159,1164,1107
GENE-1772,NO,1,0,0,0,0,0,0
GENE-1773,NO,1,0,0,0,0,0,0
GENE-1774,NO,1,0,0,0,0,0,0
GENE-1775,NO,1,0,0,0,0,0,0
GENE-1776,NO,1,0,0,0,0,0,0
GENE-1778,NO,1,0,0,0,0,0,0
GENE-1779,NO,1,0,0,0,0,0,0
GENE-1780,NO,1,0,0,0,0,0,0
GENE-1781,NO,1,0,0,0,0,0,0
GENE-1782,YES,1,0,0,0,0,0,0
GENE-1783,NO,1,47,33,40,44,49,49
GENE-1784,NO,1,0,0,0,0,0,0
GENE-1785,NO,1,1278,630,763,1318,542,648
GENE-1786,NO,1,0,0,0,0,0,0
GENE-1787,NO,1,313,290,232,198,271,261
GENE-1788,NO,1,0,0,0,0,0,0
GENE-1789,NO,1,0,0,0,0,0,0
GENE-1790,NO,1,0,0,0,1,1,0
GENE-1791,NO,1,0,0,0,0,0,0
GENE-1792,NO,1,0,0,0,0,0,0
GENE-1793,NO,1,34,21,4,14,10,204
GENE-1794,NO,1,0,0,0,0,0,0
GENE-1795,NO,1,0,0,0,0,0,0
GENE-1796,NO,1,8,2,7,2,5,4
GENE-1797,NO,1,0,0,0,0,0,0
GENE-1798,NO,1,8,17,9,7,5,10
GENE-1799,NO,1,0,0,0,0,0,0
GENE-1800,NO,1,0,0,0,0,0,0
GENE-1801,NO,1,0,0,0,0,0,0
GENE-1802,NO,1,0,0,0,0,0,0
GENE-1803,NO,1,0,0,0,0,0,0
GENE-1804,NO,1,0,0,0,0,0,0
GENE-1805,NO,1,0,0,0,0,0,0
GENE-1806,NO,1,0,0,0,0,0,0
GENE-1807,NO,1,0,0,0,0,0,0
GENE-1808,NO,1,0,0,0,0,0,0
GENE-1809,NO,1,0,0,0,0,0,0
GENE-1810,NO,1,0,0,0,0,0,0
GENE-1811,NO,1,0,0,0,0,0,0
GENE-1812,NO,1,0,0,0,0,0,0
GENE-1813,NO,1,683,570,502,568,697,499
GENE-1814,NO,1,0,0,0,0,0,0
GENE-1815,NO,1,0,0,0,0,0,0
GENE-1816,NO,1,0,0,0,0,0,0
GENE-1817,NO,1,0,0,0,0,0,0
GENE-1818,NO,1,75,85,55,63,73,63
GENE-1819,NO,1,0,0,0,0,0,0
GENE-1820,NO,1,179,125,217,144,134,212
GENE-1821,NO,1,42,20,17,33,36,30
GENE-1822,NO,1,0,0,0,0,0,0
GENE-1823,NO,1,107,139,111,117,122,113
GENE-1824,NO,1,33,46,60,48,45,45
GENE-1825,NO,1,0,0,0,0,0,0
GENE-1826,NO,1,21,9,18,20,19,16
GENE-1827,NO,1,0,0,0,0,0,0
GENE-1828,NO,1,0,2,2,2,0,0
GENE-1829,NO,1,0,0,0,0,0,0
GENE-1830,NO,1,0,0,0,0,0,0
GENE-1831,NO,1,0,0,0,0,0,0
GENE-1832,NO,1,1,4,3,1,0,2
GENE-1834,NO,1,0,0,0,0,0,0
GENE-1835,NO,1,8,5,6,19,7,11
GENE-1836,YES,1,0,0,0,0,0,0
GENE-1837,NO,1,0,0,0,0,0,0
GENE-1838,NO,1,0,0,0,0,0,0
GENE-1839,NO,1,0,0,0,0,0,0
GENE-1840,NO,1,0,0,0,0,0,0
GENE-1841,NO,1,162,215,168,139,146,167
GENE-1842,NO,1,0,0,0,0,0,0
GENE-1843,NO,1,0,0,0,0,0,0
GENE-1844,NO,1,2,2,2,6,3,8
GENE-1845,NO,1,70,70,66,52,90,61
GENE-1846,NO,1,11,51,52,42,28,33
GENE-1847,NO,1,0,0,0,0,0,0
GENE-1848,NO,1,0,0,0,0,0,0
GENE-1849,NO,1,179,144,143,134,112,159
GENE-1850,NO,1,73,43,140,84,85,33
GENE-1851,NO,1,0,0,0,0,0,0
GENE-1852,NO,1,0,0,0,0,0,0
GENE-1853,YES,1,0,0,0,0,0,0
GENE-1854,NO,1,0,0,0,0,0,0
GENE-1855,NO,1,68,90,96,120,87,56
GENE-1856,NO,1,19,18,19,26,33,35
GENE-1857,NO,1,0,0,0,0,0,0
GENE-1859,NO,1,2,0,4,6,2,3
GENE-1860,NO,1,745,761,808,670,587,499
GENE-1861,NO,1,1686,1777,1841,1798,1650,1755
GENE-1862,NO,1,0,0,0,0,0,0
GENE-1863,NO,1,0,0,0,0,0,0
GENE-1864,NO,1,0,0,0,0,0,0
GENE-1865,NO,1,0,0,0,0,0,0
GENE-1866,NO,1,0,0,0,0,0,0
GENE-1867,YES,1,0,0,0,0,0,0
GENE-1868,NO,1,0,0,0,0,0,0
GENE-1869,NO,1,0,1,0,1,1,1
GENE-1870,NO,1,0,0,0,0,0,0
GENE-1871,NO,1,0,0,0,0,0,0
GENE-1872,NO,1,331,240,409,275,310,307
GENE-1873,NO,1,113,77,47,46,74,65
GENE-1874,NO,1,0,0,0,0,0,0
GENE-1875,NO,1,0,0,0,0,0,0
GENE-1876,NO,1,0,0,0,0,0,0
GENE-1877,NO,1,0,0,0,0,0,0
GENE-1878,NO,1,0,0,0,0,0,0
GENE-1879,NO,1,0,0,0,0,0,0
GENE-1880,NO,1,10,5,7,12,7,10
GENE-1881,NO,1,0,0,0,0,0,0
GENE-1882,NO,1,0,0,0,0,0,0
GENE-1883,NO,1,6,4,5,3,6,3
GENE-1884,NO,1,0,0,0,0,0,0
GENE-1885,NO,1,37,54,60,56,59,62
GENE-1886,NO,1,0,0,0,0,0,0
GENE-1887,NO,1,883,994,1670,1169,840,1321
GENE-1888,YES,1,0,0,0,0,0,0
GENE-1889,NO,1,0,0,1,1,0,2
GENE-1890,NO,1,0,0,0,0,0,0
GENE-1891,NO,1,0,0,0,0,0,0
GENE-1892,NO,1,57,41,56,43,49,66
GENE-1893,NO,1,0,0,0,0,0,0
GENE-1894,NO,1,0,0,0,0,0,0
GENE-1895,NO,1,0,0,0,0,0,0
GENE-1896,NO,1,0,0,0,0,0,0
GENE-1897,NO,1,0,0,0,0,0,0
GENE-1898,NO,1,2,3,4,2,3,0
GENE-1899,NO,1,0,0,0,0,0,0
GENE-1900,NO,1,0,0,0,0,0,0
GENE-1901,NO,1,0,0,0,0,0,0
GENE-1903,NO,1,0,0,0,0,0,0
GENE-1904,NO,1,98,97,125,104,114,97
GENE-1905,NO,1,96,140,233,110,155,99
GENE-1906,NO,1,482,696,300,278,627,843
GENE-1907,NO,1,2,3,2,1,3,4
GENE-1908,NO,1,0,0,1,1,1,1
GENE-1909,NO,1,0,1,0,2,0,0
GENE-1910,NO,1,1,0,2,0,3,0
GENE-1911,NO,1,0,0,0,0,0,0
GENE-1912,NO,1,0,0,0,0,0,0
GENE-1913,NO,1,0,0,0,0,0,0
GENE-1914,NO,1,0,0,0,0,1,0
GENE-1915,NO,1,0,0,0,0,0,0
GENE-1916,NO,1,0,0,0,0,0,0
GENE-1917,NO,1,0,0,0,0,0,0
GENE-1918,NO,1,275,298,284,285,256,283
GENE-1919,NO,1,0,0,0,0,0,0
GENE-1920,NO,1,0,0,0,0,0,0
GENE-1921,NO,1,0,0,0,0,0,0
GENE-1922,NO,1,1,1,2,1,3,3
GENE-1923,NO,1,0,0,0,0,0,0
GENE-1924,NO,1,0,0,0,0,0,0
GENE-1925,NO,1,1,0,0,0,0,1
GENE-1926,NO,1,0,0,0,0,0,0
GENE-1927,NO,1,137,237,229,265,316,199
GENE-1928,NO,1,0,0,0,0,0,0
GENE-1929,NO,1,0,0,0,0,0,0
GENE-1930,NO,1,0,0,0,0,0,0
GENE-1931,NO,1,13,13,11,10,25,18
GENE-1932,NO,1,0,0,0,0,0,0
GENE-1933,NO,1,0,0,0,0,0,0
GENE-1934,NO,1,0,0,0,0,0,0
GENE-1935,NO,1,0,0,0,0,0,0
GENE-1936,NO,1,0,0,0,0,0,0
GENE-1937,NO,1,0,0,0,0,0,0
GENE-1938,NO,1,0,0,0,0,0,0
GENE-1939,NO,1,0,0,0,0,0,0
GENE-1940,NO,1,0,0,0,0,0,0
GENE-1941,NO,1,175,163,148,261,127,146
GENE-1942,NO,1,0,0,0,0,0,0
GENE-1943,NO,1,0,0,0,0,0,0
GENE-1944,NO,1,0,0,0,0,0,0
GENE-1945,NO,1,0,0,1,1,0,2
GENE-1946,NO,1,0,0,0,0,0,0
GENE-1947,NO,1,0,0,0,0,0,0
GENE-1948,NO,1,0,0,0,0,0,0
GENE-1949,NO,1,0,0,0,0,0,0
GENE-1950,NO,1,108,66,128,121,108,90
GENE-1951,NO,1,0,0,0,0,0,1
GENE-1952,NO,1,0,0,0,0,0,0
GENE-1953,NO,1,0,0,0,0,0,0
GENE-1954,NO,1,530,303,342,485,373,368
GENE-1955,NO,1,0,0,0,0,0,0
GENE-1956,NO,1,0,0,0,0,0,0
GENE-1957,NO,1,12,8,13,6,11,8
GENE-1958,NO,1,173,106,167,177,169,121
GENE-1959,NO,1,0,0,0,0,0,0
GENE-1960,NO,1,75,92,87,74,73,60
GENE-1961,NO,1,0,0,0,0,0,0
GENE-1962,NO,1,0,0,0,0,0,0
GENE-1963,NO,1,333,262,173,559,257,67
GENE-1964,NO,1,0,0,0,0,0,0
GENE-1965,NO,1,0,0,0,0,0,0
GENE-1966,NO,1,199,235,218,190,241,202
GENE-1967,NO,1,0,0,0,0,0,0
GENE-1968,NO,1,0,0,0,0,0,0
GENE-1969,NO,1,0,0,0,0,0,0
GENE-1970,NO,1,914,1119,935,1122,764,973
GENE-1971,NO,1,13,14,15,21,12,13
GENE-1972,NO,1,0,0,0,0,0,0
GENE-1973,NO,1,0,0,0,0,0,0
GENE-1974,YES,1,0,0,0,0,0,0
GENE-1975,NO,1,139,150,118,153,121,157
GENE-1976,NO,1,0,0,0,0,0,0
GENE-1977,NO,1,0,0,0,0,0,0
GENE-1978,NO,1,9,4,8,2,7,10
GENE-1979,NO,1,0,0,0,0,0,0
GENE-1980,NO,1,0,0,0,0,0,0
GENE-1981,NO,1,601,502,524,538,423,432
GENE-1982,NO,1,0,0,0,0,0,0
GENE-1983,NO,1,0,0,0,0,0,0
GENE-1984,NO,1,0,0,0,0,0,0
GENE-1985,NO,1,0,0,0,0,0,0
GENE-1986,NO,1,0,0,0,0,0,0
GENE-1987,NO,1,0,0,0,0,0,0
GENE-1988,NO,1,3,3,0,0,0,0
GENE-1989,NO,1,1058,576,617,1447,895,160
GENE-1990,NO,1,0,0,0,0,0,0
GENE-1991,NO,1,300,98,319,327,726,108
GENE-1992,NO,1,53,54,63,65,66,61
GENE-1993,NO,1,0,0,0,0,0,0
GENE-1994,NO,1,0,0,0,0,0,0
GENE-1995,YES,1,0,0,0,0,0,0
GENE-1996,YES,1,0,0,0,0,0,0
GENE-1997,NO,1,0,0,0,0,0,0
GENE-1998,NO,1,0,0,0,0,0,0
GENE-1999,NO,1,0,0,0,0,0,0
GENE-2000,NO,1,0,1,3,2,4,4
GENE-2001,NO,1,0,0,0,0,0,0
GENE-2002,NO,1,0,0,0,0,0,0
GENE-2003,NO,1,0,0,0,0,0,0
GENE-2004,NO,1,0,0,0,0,0,0
GENE-2005,YES,1,0,0,0,0,0,0
GENE-2006,NO,1,3092,4026,3920,4156,2966,4829
GENE-2007,NO,1,1339,2754,4061,798,1292,1059
GENE-2008,NO,1,5,15,10,14,10,5
GENE-2009,NO,1,15,16,22,10,9,19
GENE-2010,NO,1,0,0,0,0,0,0
GENE-2011,NO,1,593,707,1262,1079,995,1253
GENE-2012,NO,1,115,189,175,109,144,156
GENE-2013,NO,1,0,0,0,0,0,0
GENE-2014,NO,1,4231,3238,4182,3428,5653,3769
GENE-2015,NO,1,0,0,0,0,0,0
GENE-2016,NO,1,1032,1141,1274,1268,1189,1119
GENE-2017,NO,1,7,4,2,3,4,2
GENE-2018,NO,1,0,0,0,0,0,0
GENE-2019,NO,1,0,0,0,0,0,0
GENE-2020,NO,1,0,0,0,0,0,0
GENE-2021,NO,1,0,0,0,0,0,1
GENE-2022,NO,1,0,0,0,0,1,0
GENE-2023,NO,1,0,0,0,0,0,0
GENE-2024,NO,1,0,0,0,0,0,0
GENE-2025,NO,1,20,71,3,122,24,25
GENE-2026,NO,1,612,678,665,599,638,758
GENE-2027,NO,1,0,0,0,0,0,0
GENE-2028,NO,1,70,80,56,40,57,67
GENE-2029,NO,1,0,0,0,0,0,0
GENE-2030,NO,1,0,2,0,0,0,0
GENE-2031,NO,1,0,0,0,0,0,0
GENE-2032,NO,1,123,145,164,133,146,166
GENE-2033,NO,1,786,602,895,757,529,571
GENE-2034,NO,1,49,33,8,17,66,26
GENE-2035,NO,1,0,0,0,0,0,0
GENE-2036,NO,1,1,4,3,5,1,2
GENE-2037,NO,1,0,0,0,0,0,0
GENE-2038,NO,1,0,0,0,0,0,0
GENE-2039,NO,1,0,0,0,0,0,0
GENE-2040,NO,1,0,0,0,0,0,0
GENE-2041,NO,1,0,0,0,0,0,0
GENE-2042,NO,1,46,54,51,48,56,49
GENE-2043,NO,1,200,183,197,198,208,214
GENE-2044,NO,1,12,13,11,11,11,12
GENE-2045,NO,1,0,0,0,0,0,0
GENE-2046,NO,1,0,0,0,0,0,0
GENE-2047,NO,1,0,0,0,0,0,0
GENE-2048,NO,1,0,0,0,0,0,0
GENE-2049,NO,1,0,0,0,0,0,0
GENE-2050,NO,1,0,0,0,0,0,0
GENE-2051,NO,1,0,0,0,0,0,0
GENE-2052,NO,1,0,0,0,0,1,1
GENE-2053,NO,1,333,349,329,364,412,440
GENE-2054,NO,1,0,0,0,0,0,0
GENE-2055,NO,1,498,381,367,559,577,419
GENE-2056,NO,1,5907,6708,6886,5454,6199,7264
GENE-2057,NO,1,2,3,6,3,3,5
GENE-2058,NO,1,0,0,0,0,0,0
GENE-2059,NO,1,0,0,0,0,0,0
GENE-2060,NO,1,0,0,0,0,0,0
GENE-2061,NO,1,1462,1481,1818,1348,1864,1570
GENE-2062,YES,1,0,0,0,0,0,0
GENE-2063,NO,1,0,0,0,0,0,0
GENE-2064,NO,1,0,0,0,0,0,0
GENE-2065,NO,1,13,4,9,3,9,1
GENE-2066,NO,1,0,0,0,0,0,0
GENE-2067,NO,1,0,0,0,0,0,0
GENE-2069,NO,1,1,0,0,0,1,1
GENE-2070,NO,1,0,0,0,0,0,0
GENE-2071,NO,1,0,0,0,0,0,0
GENE-2072,NO,1,1,0,0,0,0,0
GENE-2073,NO,1,156,199,190,165,172,154
GENE-2074,NO,1,2,4,1,5,1,1
GENE-2075,NO,1,0,0,0,0,0,0
GENE-2076,NO,1,0,0,0,0,0,0
GENE-2077,NO,1,5,3,0,1,4,3
GENE-2078,NO,1,0,0,0,0,0,0
GENE-2079,NO,1,560,712,718,706,707,649
GENE-2080,NO,1,0,0,0,0,0,0
GENE-2081,NO,1,0,0,0,0,0,0
GENE-2082,NO,1,0,0,0,0,0,0
GENE-2083,NO,1,16,17,17,20,23,23
GENE-2084,NO,1,0,0,0,0,0,0
GENE-2085,NO,1,0,0,0,0,0,0
GENE-2086,NO,1,0,0,0,0,0,0
GENE-2087,NO,1,239,195,261,304,332,258
GENE-2088,NO,1,0,0,0,0,0,0
GENE-2089,NO,1,0,0,0,0,0,0
GENE-2090,NO,1,329,323,362,417,601,552
GENE-2091,NO,1,0,0,0,0,0,0
GENE-2092,NO,1,0,0,0,0,0,0
GENE-2093,NO,1,0,0,0,0,0,0
GENE-2094,NO,1,0,0,0,0,0,0
GENE-2095,NO,1,9,15,45,40,1,1
GENE-2096,NO,1,0,0,0,0,0,0
GENE-2097,NO,1,0,0,0,0,0,0
GENE-2098,NO,1,0,0,0,0,0,0
GENE-2099,NO,1,1,4,4,2,1,3
GENE-2100,NO,1,0,0,0,0,0,0
GENE-2102,NO,1,0,0,0,0,0,0
GENE-2103,NO,1,0,0,0,0,0,0
GENE-2104,NO,1,0,0,0,0,0,0
GENE-2105,NO,1,4,6,0,4,2,1
GENE-2106,NO,1,0,0,0,0,0,0
GENE-2107,NO,1,0,0,0,0,0,0
GENE-2108,NO,1,0,0,0,0,0,0
GENE-2109,NO,1,0,0,0,0,0,0
GENE-2110,NO,1,0,0,0,0,0,0
GENE-2111,NO,1,0,0,0,0,0,0
GENE-2112,NO,1,0,0,0,0,0,0
GENE-2113,NO,1,0,0,0,0,0,0
GENE-2114,NO,1,0,0,0,0,0,0
GENE-2115,NO,1,9,11,15,9,12,19
GENE-2116,NO,1,0,0,0,0,0,0
GENE-2117,NO,1,180,143,185,171,190,148
GENE-2118,NO,1,0,0,0,0,0,0
GENE-2119,NO,1,9,6,4,5,8,5
GENE-2120,NO,1,15,12,16,23,17,25
GENE-2121,NO,1,68,50,64,48,59,50
GENE-2123,NO,1,0,0,0,0,0,0
GENE-2124,NO,1,1505,2070,2387,1366,1341,2080
GENE-2125,NO,1,0,0,0,0,0,0
GENE-2127,NO,1,0,0,0,0,0,0
GENE-2128,NO,1,0,0,0,0,0,0
GENE-2129,NO,1,0,0,0,0,0,0
GENE-2130,NO,1,0,0,0,0,0,0
GENE-2131,NO,1,3,4,2,2,4,2
GENE-2132,NO,1,0,0,0,0,0,0
GENE-2134,NO,1,0,0,0,0,0,0
GENE-2135,NO,1,0,0,0,0,0,0
GENE-2136,NO,1,0,0,0,0,0,0
GENE-2137,NO,1,0,0,0,0,0,0
GENE-2138,NO,1,25,18,14,36,15,20
GENE-2139,NO,1,23,16,17,15,24,18
GENE-2140,NO,1,1997,2851,3011,2469,2670,2814
GENE-2141,NO,1,14,18,10,17,16,18
GENE-2142,NO,1,16,11,20,11,16,11
GENE-2144,NO,1,28,24,11,22,10,13
GENE-2145,NO,1,0,0,0,0,2,0
GENE-2146,NO,1,3,7,5,2,4,5
GENE-2147,NO,1,0,0,0,0,0,0
GENE-2148,NO,1,2,1,143,7,54,12
GENE-2149,NO,1,0,0,0,0,0,0
GENE-2150,NO,1,3271,4472,1024,4419,1447,2365
GENE-2151,NO,1,0,0,0,0,0,0
GENE-2152,NO,1,28,25,28,28,33,25
GENE-2153,NO,1,0,0,0,0,0,0
GENE-2154,NO,1,36,39,41,50,45,34
GENE-2155,NO,1,0,0,0,0,1,0
GENE-2156,NO,1,45,43,49,63,37,21
GENE-2157,NO,1,0,0,0,0,0,0
GENE-2158,NO,1,4,7,8,9,8,9
GENE-2159,NO,1,1,1,0,1,0,0
GENE-2160,NO,1,0,0,0,0,0,0
GENE-2161,NO,1,0,4,0,1,1,4
GENE-2162,NO,1,314,247,202,257,255,230
GENE-2163,NO,1,0,0,0,0,0,0
GENE-2164,NO,1,8,8,8,8,5,5
GENE-2165,NO,1,18,10,13,19,11,17
GENE-2166,NO,1,15,13,10,15,15,16
GENE-2167,NO,1,1,5,1,2,1,0
GENE-2168,NO,1,148,138,163,136,152,153
GENE-2169,NO,1,561,695,290,558,851,184
GENE-2170,NO,1,0,0,0,0,0,0
GENE-2171,NO,1,0,0,0,0,0,0
GENE-2172,NO,1,0,0,0,0,0,0
GENE-2173,NO,1,0,0,0,0,0,0
GENE-2174,NO,1,0,0,0,0,0,0
GENE-2175,NO,1,0,0,0,0,0,0
GENE-2176,NO,1,3,2,1,5,6,3
GENE-2177,NO,1,0,0,0,0,0,0
GENE-2178,NO,1,0,0,0,0,0,0
GENE-2179,NO,1,0,0,0,0,0,0
GENE-2180,NO,1,285,274,273,286,255,256
GENE-2181,NO,1,0,0,0,0,0,0
GENE-2182,NO,1,60,99,98,65,104,85
GENE-2183,NO,1,0,0,0,0,0,0
GENE-2185,NO,1,4,0,5,2,5,1
GENE-2186,NO,1,0,0,0,0,0,0
GENE-2187,NO,1,281,258,208,254,344,218
GENE-2188,NO,1,0,0,0,0,0,0
GENE-2189,NO,1,27,29,29,18,33,19
GENE-2190,NO,1,0,0,0,0,0,0
GENE-2191,NO,1,0,1,0,0,0,0
GENE-2192,NO,1,0,0,0,0,1,0
GENE-2193,NO,1,0,0,0,0,0,0
GENE-2194,NO,1,0,2,0,0,1,1
GENE-2195,NO,1,197,255,178,226,208,175
GENE-2196,NO,1,0,0,0,0,0,0
GENE-2197,NO,1,0,0,0,0,0,0
GENE-2198,NO,1,1453,1757,1515,1455,1387,1765
GENE-2199,NO,1,0,0,0,0,0,0
GENE-2200,NO,1,0,0,0,0,0,0
GENE-2201,NO,1,142,128,98,125,145,133
GENE-2202,NO,1,22,23,33,21,16,28
GENE-2203,NO,1,18,17,19,8,11,7
GENE-2204,NO,1,0,0,0,0,0,0
GENE-2205,NO,1,15,13,14,11,12,13
GENE-2206,NO,1,746,789,795,775,833,732
GENE-2207,NO,1,0,0,0,0,0,0
GENE-2208,NO,1,0,0,0,0,0,0
GENE-2209,NO,1,0,0,0,0,0,0
GENE-2210,NO,1,0,0,0,0,0,0
GENE-2211,NO,1,0,0,0,0,0,0
GENE-2212,NO,1,0,0,0,0,0,0
GENE-2213,NO,1,326,318,227,257,274,267
GENE-2214,NO,1,0,0,1,0,1,1
GENE-2215,NO,1,0,0,0,0,0,0
GENE-2216,NO,1,0,0,0,0,0,0
GENE-2217,NO,1,128,119,141,127,141,115
GENE-2218,NO,1,0,2,0,0,0,0
GENE-2219,NO,1,0,0,0,0,0,0
GENE-2220,NO,1,0,0,0,0,0,0
GENE-2221,NO,1,2,3,2,3,2,0
GENE-2222,NO,1,0,0,0,0,0,0
GENE-2223,NO,1,0,0,0,0,0,0
GENE-2224,NO,1,53,95,90,103,21,12
GENE-2225,NO,1,0,0,0,0,0,0
GENE-2226,NO,1,0,0,0,0,0,0
GENE-2227,NO,1,0,0,0,0,0,0
GENE-2228,NO,1,1661,974,1061,1090,1572,1346
GENE-2229,NO,1,2,2,1,2,1,2
GENE-2230,NO,1,0,0,0,0,0,0
GENE-2231,NO,1,0,0,0,0,0,0
GENE-2232,NO,1,0,0,0,0,0,0
GENE-2233,NO,1,318,380,416,410,402,306
GENE-2234,NO,1,239,273,569,117,268,211
GENE-2235,NO,1,23,35,39,22,22,24
GENE-2236,NO,1,0,0,0,0,0,0
GENE-2237,NO,1,0,0,0,0,0,0
GENE-2238,NO,1,0,0,0,0,0,0
GENE-2239,NO,1,334,255,275,322,253,281
GENE-2240,NO,1,0,0,0,0,0,0
GENE-2241,YES,1,0,0,0,0,0,0
GENE-2242,NO,1,16,25,24,22,17,18
GENE-2243,NO,1,2,2,1,1,0,1
GENE-2244,NO,1,0,0,0,0,0,0
GENE-2245,NO,1,0,0,0,0,0,0
GENE-2246,NO,1,129,125,113,125,107,124
GENE-2247,NO,1,8,4,6,7,12,8
GENE-2248,NO,1,0,0,0,0,0,0
GENE-2249,NO,1,13,7,25,17,5,7
GENE-2250,NO,1,59,89,85,85,81,82
GENE-2251,NO,1,0,0,0,0,0,0
GENE-2252,NO,1,0,0,0,0,0,0
GENE-2253,NO,1,2,6,7,4,6,2
GENE-2254,NO,1,88,110,85,172,73,70
GENE-2255,NO,1,0,0,0,0,0,0
GENE-2256,NO,1,0,0,0,0,0,0
GENE-2257,NO,1,0,0,0,0,0,0
GENE-2258,NO,1,0,0,0,0,0,0
GENE-2259,NO,1,0,0,0,0,0,0
GENE-2260,YES,1,0,0,0,0,0,0
GENE-2261,NO,1,0,0,0,0,0,0
GENE-2262,NO,1,0,0,0,0,0,0
GENE-2263,NO,1,49,45,44,72,54,46
GENE-2264,NO,1,241,326,277,312,327,223
GENE-2265,NO,1,0,0,0,0,0,0
GENE-2266,NO,1,857,576,891,1219,1004,1763
GENE-2267,NO,1,0,0,0,0,0,0
GENE-2268,NO,1,2,0,0,0,4,1
GENE-2269,NO,1,2495,2653,2375,2607,2646,2761
GENE-2270,NO,1,0,0,0,0,0,0
GENE-2271,NO,1,0,0,0,0,0,0
GENE-2272,NO,1,0,0,0,0,0,0
GENE-2273,NO,1,0,0,0,0,0,0
GENE-2274,NO,1,0,0,0,0,0,0
GENE-2275,NO,1,388,298,862,329,482,721
GENE-2276,NO,1,6023,4211,5349,3195,3881,6362
GENE-2277,NO,1,157,144,188,205,145,165
GENE-2278,NO,1,0,0,0,0,0,0
GENE-2279,NO,1,1,0,0,0,0,2
GENE-2280,NO,1,29,28,36,21,34,33
GENE-2281,NO,1,0,0,0,0,0,0
GENE-2282,NO,1,0,0,0,0,0,0
GENE-2283,NO,1,0,0,0,0,0,0
GENE-2284,NO,1,192,223,110,288,56,117
GENE-2285,NO,1,868,755,670,731,725,746
GENE-2286,NO,1,17,28,12,18,26,24
GENE-2287,NO,1,0,0,0,0,0,0
GENE-2288,NO,1,0,0,0,0,0,0
GENE-2289,NO,1,0,0,0,0,0,0
GENE-2290,NO,1,0,0,0,0,0,0
